Entidad Compradora,NIT Entidad Compradora,ID Proceso,Valor Contrato
INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,CO1.BDOS.152202,2900640
MINISTERIO DE EDUCACION NACIONAL (MEN),899999001,CO1.BDOS.103809,59752888
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,899999162,CO1.BDOS.169401,10000000
GOBERNACIÓN DE SANTANDER,890201235,CO1.BDOS.218134,12900000
GOBERNACIÓN DE SANTANDER,890201235,CO1.BDOS.196623,8000000
SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,800250984,CO1.BDOS.111206,18256080
GOBERNACION DE ANTIOQUIA,890900286,CO1.BDOS.72508,33602808
MINISTERIO DEL INTERIOR,830114475,CO1.BDOS.208243,13500000
"DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE, LA RECREACION, LA ACTIVIDAD FISICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE COLDEPORTES",899999306,CO1.BDOS.173811,1637496
DIRECCIÓN DE TRÁNSITO Y TRANSPORTE DE LA POLICÍA NACIONAL,830090486,CO1.BDOS.204505,3562000
BASE NAVAL ARC SAN ANDRES,800141656,CO1.BDOS.138305,2388339
INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,899999004,CO1.BDOS.214904,7333333
INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,899999004,CO1.BDOS.131815,12000000
BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No.6,800141688,CO1.BDOS.204817,4000000
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.,899999094,CO1.BDOS.214406,59502000
MINISTERIO DE TRANSPORTE,899999055,CO1.BDOS.198237,7333333
MINISTERIO DE CULTURA,830034348,CO1.BDOS.170612,0
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,900507741,CO1.BDOS.121923,66000000
CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL,899999073,CO1.BDOS.118338,35040005
MINISTERIO DE MINAS Y ENERGIA,899999022,CO1.BDOS.170909,5000000
RESGUARDO INDIGENA ARHUACO DE LA SIERRA NEVADA,824002015,CO1.BDOS.217226,10000000
UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,900498879,CO1.BDOS.161811,301050
CAJA DE RETIRO DE LAS FUERZAS MILITARES,899999118,CO1.BDOS.177914,8648801
SUPERINTENDENCIA DE SOCIEDADES,899999086,CO1.BDOS.210714,177000
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,899999162,CO1.BDOS.159515,19581093
AGENCIA NACIONAL DE TIERRAS,900948953,CO1.BDOS.183811,346964280
MINISTERIO DEL INTERIOR,830114475,CO1.BDOS.214418,21800000
GOBERNACIÓN DE SANTANDER,890201235,CO1.BDOS.191133,14000000
DEPARTAMENTO DE POLICIA QUINDIO,800140986,CO1.BDOS.208438,3140000
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.,899999094,CO1.BDOS.214310,5685000
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,899999162,CO1.BDOS.129829,583
INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,899999004,CO1.BDOS.217325,7333333
SECRETARIA DISTRITAL DE PLANEACION,899999061,CO1.BDOS.192101,17100000
POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA,800141397,CO1.BDOS.147235,35392500
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,899999162,CO1.BDOS.204901,144150000
ALCALDIA DE NEIRA,890801135,CO1.BDOS.204728,0
MUNICIPIO DE NEIVA,891180009,CO1.BDOS.136323,18000000
CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL,899999073,CO1.BDOS.165511,16269396
FONDO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,800131648,CO1.BDOS.172212,1200000000
GOBERNACIÓN DE SANTANDER,890201235,CO1.BDOS.217322,12900000
BASE NAVAL ARC BOLIVAR,800141645,CO1.BDOS.179818,15909617
INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI,899999004,CO1.BDOS.83704,6926200
ESTABLECIMIENTO DE SANIDAD MILITAR 1034 BARRANQUILLA,830039670,CO1.BDOS.215235,10100000
MUNICIPIO DE NEIVA,891180009,CO1.BDOS.195230,29800000
SECRETARIA DISTRITAL DE LA MUJER,899999061,CO1.BDOS.210606,21000000
FUERZA AÉREA COLOMBIANA,899999102,CO1.BDOS.195101,10710000
MINISTERIO DEL INTERIOR,830114475,CO1.BDOS.214807,14400000
ARMADA NACIONAL BASE NAVAL No. 6 ARC BOGOTA,800141644,CO1.BDOS.186620,183442739
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.,899999094,CO1.BDOS.210502,27705000
MUNICIPIO DE NEIVA,891180009,CO1.BDOS.136202,6000000
